letter_file,person,revision_status,kollationiert_2025,grundkommentiert_2025,tagging_2025,other_2025
BW_JohIIB/korr_Huber_Johann_Jakob-JohIIB/B_1758_991170453261205501.xml,RG,katalogisiert,0,0,1,0
BW_JohIIB/korr_Cramer_Gabriel-JohIIB/B_1745-06-11_991170516487205501.xml,SG,kollationiert,0,0,0,1
BW_JohIIB/korr_Cramer_Gabriel-JohIIB/B_1745-06-11_991170516487205501.xml,MK,kollationiert,1,0,0,0
BW_JohIIB/korr_Cramer_Gabriel-JohIIB/B_1745-06-11_991170516487205501.xml,RG,kollationiert,0,0,0,1
BW_JohIIB/korr_Cramer_Gabriel-JohIIB/B_1740-11-30_991170430341805501.xml,MK,kollationiert,1,0,0,0
BW_JohIIB/korr_Cramer_Gabriel-JohIIB/B_1740-11-30_991170430341805501.xml,RG,kollationiert,0,0,0,1
BW_JohIIB/korr_Cramer_Gabriel-JohIIB/B_1740-10-12_991170430342005501.xml,SG,grundkommentiert,0,0,0,1
BW_JohIIB/korr_Cramer_Gabriel-JohIIB/B_1740-10-12_991170430342005501.xml,MK,grundkommentiert,1,0,0,0
BW_JohIIB/korr_Cramer_Gabriel-JohIIB/B_1740-10-12_991170430342005501.xml,RG,grundkommentiert,0,0,0,1
BW_JohIIB/korr_Cramer_Gabriel-JohIIB/B_1742-12-26_991170430341005501.xml,MK,teiKodiert,1,0,0,0
BW_JohIIB/korr_Cramer_Gabriel-JohIIB/B_1742-12-26_991170430341005501.xml,RG,teiKodiert,0,0,0,1
BW_JohIIB/korr_Cramer_Gabriel-JohIIB/B_1742-12-21_991170516487305501.xml,RG,teiKodiert,0,0,0,1
BW_JohIIB/korr_Cramer_Gabriel-JohIIB/B_1745-07-26_991170516487005501.xml,MK,kollationiert,1,0,0,0
BW_JohIIB/korr_Cramer_Gabriel-JohIIB/B_1745-07-26_991170516487005501.xml,RG,kollationiert,0,0,0,1
BW_JohIIB/korr_Cramer_Gabriel-JohIIB/B_1745-07-26_991170516487105501.xml,MK,kollationiert,1,0,0,0
BW_JohIIB/korr_Cramer_Gabriel-JohIIB/B_1745-07-26_991170516487105501.xml,RG,kollationiert,0,0,0,1
BW_JohIIB/korr_Cramer_Gabriel-JohIIB/B_1741-01-10_991170516487705501.xml,SG,kollationiert,0,0,0,1
BW_JohIIB/korr_Cramer_Gabriel-JohIIB/B_1741-01-10_991170516487705501.xml,MK,kollationiert,1,0,0,0
BW_JohIIB/korr_Cramer_Gabriel-JohIIB/B_1741-01-10_991170516487705501.xml,RG,kollationiert,0,0,0,1
BW_JohIIB/korr_Cramer_Gabriel-JohIIB/B_1741-08-25_991170516487505501.xml,RG,teiKodiert,0,0,0,1
BW_JohIIB/korr_Cramer_Gabriel-JohIIB/B_1741-08-25_991170516487505501.xml,MK,teiKodiert,0,0,0,1
BW_JohIIB/korr_Cramer_Gabriel-JohIIB/B_1740-11-25_991170516487805501.xml,MK,kollationiert,1,0,0,0
BW_JohIIB/korr_Cramer_Gabriel-JohIIB/B_1740-11-25_991170516487805501.xml,RG,kollationiert,0,0,0,1
BW_JohIIB/korr_Cramer_Gabriel-JohIIB/B_1743-05-01_991170430340705501.xml,MK,teiKodiert,0,0,0,1
BW_JohIIB/korr_Cramer_Gabriel-JohIIB/B_1743-05-01_991170430340705501.xml,RG,teiKodiert,0,0,0,1
BW_JohIIB/korr_Cramer_Gabriel-JohIIB/B_1741-01-20_991170516487605501.xml,MK,kollationiert,1,0,0,0
BW_JohIIB/korr_Cramer_Gabriel-JohIIB/B_1741-01-20_991170516487605501.xml,RG,kollationiert,0,0,0,1
BW_JohIIB/korr_Cramer_Gabriel-JohIIB/B_1740-11-22_991170516487905501.xml,MK,kollationiert,1,0,0,0
BW_JohIIB/korr_Cramer_Gabriel-JohIIB/B_1740-11-22_991170516487905501.xml,RG,kollationiert,0,0,0,1
BW_JohIIB/korr_Cramer_Gabriel-JohIIB/B_1743-06-12_991170430340605501.xml,MK,kollationiert,1,0,0,1
BW_JohIIB/korr_Cramer_Gabriel-JohIIB/B_1743-06-12_991170430340605501.xml,RG,kollationiert,0,0,0,1
BW_JohIIB/korr_Cramer_Gabriel-JohIIB/B_1740-10-29_991170430341905501.xml,MK,kollationiert,1,0,0,0
BW_JohIIB/korr_Cramer_Gabriel-JohIIB/B_1740-10-29_991170430341905501.xml,RG,kollationiert,1,0,0,1
BW_JohIIB/korr_Cramer_Gabriel-JohIIB/B_1742-12-21_991170516487405501.xml,RG,teiKodiert,0,0,0,1
BW_JohIIB/korr_Cramer_Gabriel-JohIIB/B_1740-10-25_991170516488105501.xml,MK,kollationiert,1,0,0,0
BW_JohIIB/korr_Cramer_Gabriel-JohIIB/B_1740-10-25_991170516488105501.xml,RG,kollationiert,1,0,0,1
BW_JohIIB/korr_Cramer_Gabriel-JohIIB/B_1742-12-29_991170430340905501.xml,RG,transkribiert,0,0,0,1
BW_JohIIB/korr_Cramer_Gabriel-JohIIB/B_1742-05-12_991170430341305501.xml,RG,transkribiert,0,0,0,1
BW_JohIIB/korr_Cramer_Gabriel-JohIIB/B_1742-05-12_991170430341305501.xml,MK,transkribiert,0,0,0,1
BW_JohIIB/korr_Cramer_Gabriel-JohIIB/B_1743-04-10_991170430340805501.xml,RG,transkribiert,0,0,0,1
BW_JohIIB/korr_Cramer_Gabriel-JohIIB/B_1741-01_991170430341705501.xml,MK,kollationiert,1,0,0,0
BW_JohIIB/korr_Cramer_Gabriel-JohIIB/B_1741-01_991170430341705501.xml,RG,kollationiert,0,0,0,1
BW_JohIIB/korr_Cramer_Gabriel-JohIIB/B_1741-09-02_991170430341405501.xml,RG,transkribiert,0,0,0,1
BW_JohIIB/korr_Cramer_Gabriel-JohIIB/B_1740-11-04_991170516488005501.xml,MK,kollationiert,1,0,0,0
